,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
37,十三经注疏（全二册[458.00](1),康熙字典（王引之校改本[298.00](1),惶然录（精装本）[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,
38,区块链治理：原理与场景[60.00](1),链之以法-区块链值得信任吗?[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
39,赖世雄中级美语上下册[默认规格](1),赖世雄初级美语从头学上下2册套装[默认规格](1),赖世雄高级美语（美语从头学[36.00](1),,,,,,,,,,,,,,,,,,,,,,,,
40,秦谜:重新发现秦始皇（插图增订版[89.00](1),葛剑雄写史--中国历史的二十个片断[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
41,初中英语怎样教系列—关于阅读 听说 写作课堂1.2那些事儿套装全5册 初中英语辅导书 鞭辟入里 循序渐进[默认规格](1),初中英语读写教学设计[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
42,变形记·诗艺[79.00](1),埃涅阿斯纪　特洛亚妇女[69.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
43,格致方法质性研究方法译丛套装[默认规格](1),质性研究方法(第二版)(格致方法·社会科学研究方法系列)[75.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
44,乞力马扎罗的雪[48.00](1),浮士德（译文名著精选[38.00](1),远大前程（译文名著精选）[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,
45,小径分岔的花园（博尔赫斯全集）[35.00](1),沙之书（博尔赫斯全集）[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
46,局外人 西西弗神话 鼠疫（加缪作品）[默认规格](1),置身事内：中国政府与经济发展[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
47,中国特色社会主义[52.00](1),中国震撼三部曲：中国震撼·中国触动·中国超越[108.00](1),文明型国家（中国话语丛书[45.00](1),这就是中国系列[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,
48,一瓣太阳——可控核聚变的寻梦之旅[35.00](1),生命之光——神经科学家探索生死边界之旅[50.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
49,另一个，同一个（博尔赫斯全集）[48.00](1),德米安：彷徨少年时[29.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
50,单词的历史：英语人名词语趣谈[38.00](1),单词的历史：英语词源漫谈（第2版）[39.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
51,安身立命:大时代中的知识人[88.00](1),社会心理学（第12版）（心理学核心课程教材系列丛书）[118.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
52,三家评注李长吉歌诗（精）[98.00](1),东坡乐府笺（精[78.00](1),孟浩然诗集笺注（增订本[68.00](1),陶渊明集校笺（修订本（精（全二册[138.00](1),,,,,,,,,,,,,,,,,,,,,,,
53,名校名师 高考英语作文全攻略（第2版）[49.80](1),名校名师 高考英语考纲词汇同步学练测[39.80](1),名校名师中考英语词汇和语法全攻略（第2版）[49.80](1),,,,,,,,,,,,,,,,,,,,,,,,
54,发光的骨头[68.00](1),祥瑞:王莽和他的时代[79.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
55,精灵宝钻：精装插图本[109.00](1),霍比特人:精装插图本[78.00](1),魔戒精装插图本共七卷[628.00](1),,,,,,,,,,,,,,,,,,,,,,,,
56,制造宠物：支配与感情[78.00](1),想象的共同体--民族主义的起源与散布（增订版[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
57,唐诗鉴赏辞典（新一版）[128.00](1),宋词鉴赏辞典（新一版）（全二册）[188.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
58,细说三国[58.00](1),黎东方讲史之续·细说宋朝[78.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
59,华夏边缘[79.00](1),游牧者的抉择:面对汉帝国的北亚游牧部族[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
60,小径分岔的花园（博尔赫斯全集）[35.00](1),英语写作新思维三年级（学生版）[45.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
61,人的问题（译文经典）[72.00](1),后现代转向[69.00](1),启蒙辩证法--哲学断片[78.00](1),语言与沉默--论语言、文学与非人道[49.00](1),,,,,,,,,,,,,,,,,,,,,,,
62,唐宋八大家文鉴赏辞典[148.00](1),毛泽东诗词鉴赏辞典[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
63,2022年上海市初中英语考纲词汇用法手册配套综合练习[38.00](1),（9B（上海新版怎样学好牛津英语[48.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
64,作业设计300妙招[49.00](1),做一个不再瞎忙的班主任:2022版[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
65,启蒙时代:人的觉醒与现代秩序的诞生[268.00](1),在自然主义与宗教之间[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
66,小学语文基础训练2000例[22.00](1),读霸：小学英语阅读128篇 二年级[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
67,中国茶经—2011修订版[168.00](1),历代职官表[96.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
68,幼学故事琼林[38.00](1),黄庭坚词集 秦观词集（国学典藏[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
69,巴尔格素描教程（经典版）[360.00](1),西方经典美术技法译丛——头像素描完全指南[88.00](1),陆俨少山水画刍议（第3版[98.00](1),,,,,,,,,,,,,,,,,,,,,,,,
70,人的行动：关于经济学的论文（世纪文库[98.00](1),命运的求索--中国命理学简史及推演方法[60.00](1),性经验史第一卷：认知的意志[36.00](1),文学讲稿（纳博科夫文学讲稿三种）[78.00](1),精神病学的权力(法兰西学院课程系列.1973-1974)[78.00](1),,,,,,,,,,,,,,,,,,,,,,
71,古文观止（国学典藏[39.00](1),辛弃疾词集（国学典藏[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
72,圆觉经讲义附亲闻记[78.00](1),王阳明传：十五、十六世纪中国政治史、思想史的聚焦点[88.00](1),贾题韬讲《坛经》[48.00](1),难行能行 大行普贤[36.00](1),,,,,,,,,,,,,,,,,,,,,,,
73,中洲地图集[198.00](1),努门诺尔与中洲之未完的传说[99.00](1),精灵宝钻：精装插图本[109.00](1),,,,,,,,,,,,,,,,,,,,,,,,
74,中洲远古三大传说(套装共3册[默认规格](1),霍比特人:精装插图本[78.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
75,世纪套装\\初中英语拓展阅读1+初中英语拓展阅读2+初中英语拓展阅读3[默认规格](1),中学生英语阅读新视野1（第四版[39.80](1),中学生英语阅读新视野2（第4版[39.80](1),中学生英语阅读新视野3（第4版[39.80](1),中学生英语阅读新视野4（第四版[39.80](1),初中英语阅读新思维六年级第一学期[29.80](1),,,,,,,,,,,,,,,,,,,,,
76,高考作文榜样.王召强卷[39.80](1),高考语文现代文阅读（第2版）[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
77,高考英语夺分精炼（基础版A[32.00](1),高考英语夺分精练（冲刺版A[39.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
78,共同体的边界--社会激进主义批判[42.00](1),平常的恶+不正义的多重面孔[默认规格](1),性经验史四卷[默认规格](1),格致方法质性研究方法译丛套装[默认规格](1),社会理论二十讲[128.00](1),身份、边界与社会联系[65.00](1),身体与社会理论:第3版[88.00](1),,,,,,,,,,,,,,,,,,,,
79,中洲远古三大传说(套装共3册[默认规格](1),魔戒[179.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
80,性经验史第一卷：认知的意志[36.00](1),身体与社会理论:第3版[88.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
81,【赠品】'劝读'系列金属书签:书读完了（附纸板）[19.90](1),小妇人[89.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
82,左传译注（全二册）（中国古代名著全本译注丛书）[128.00](1),左传（全二册（国学典藏[99.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
83,一江一河——上海城市滨水空间与建筑（汉英对照）[360.00](1),反抗“平庸之恶”：《责任与判断》中文修订版[45.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
84,中国哲学大辞典（修订本）[198.00](1),周易入门[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
85,书目答问补正（蓬莱阁典藏国学其他[42.00](1),张岱小品两种[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,,,
86,《古文观止》百段浅读--初中课外文言文佳作阅读指导与练习[36.00](1),初中文言150实词例释[28.00](1),走进文言文(八年级) 九年级 新版走进文言文 新版 六七年级走进文言文 初中文言文 初一初二初三语文[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,,
87,【赠品】'劝读'系列金属书签:书读完了（附纸板）[19.90](1),我的名字叫红[59.00](1),血清素[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,
88,全新法语语法（精装版[48.00](1),法语动词变位渐进（练习四百题及答案[48.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
89,中洲旅人[108.00](1),纸上中洲：艾伦·李的《魔戒》素描集[89.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
90,他改变了中国：江泽民传[59.00](1),大棋局--美国的首要地位及其地缘战略[52.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
91,李煜词集（附李璟词集、冯延巳词集（国学典藏[26.00](1),西游补：悟空的梦[55.00](1),辛弃疾词集（国学典藏[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,
92,文心雕龙译注（中国古代名著全本译注丛书[40.00](1),韩昌黎文集校注（全二册）（平）[138.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
93,世纪套装\\微观经济学现代观点 练习册 第九版 +微观经济学 现代观点（第九版）[默认规格](1),宏观经济学：现代观点（当代经济学教学参考书系[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
94,大棋局+大国政治的悲剧+变化社会中的政治秩序[默认规格](1),注定一战[78.00](1),罗马：永恒之城（读城系列）[118.00](1),,,,,,,,,,,,,,,,,,,,,,,,
95,全新法语语法350练习与指导（高级[45.00](1),全新法语语法（精装版[48.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
96,人生的智慧（叔本华系列<精装>[58.00](1),哲学的慰藉[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
97,中国分体文学史 诗歌卷 散文卷 小说卷[默认规格](1),文心雕龙译注（中国古代名著全本译注丛书[40.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
98,初中语文整本书阅读教学指导：上海的实践探索[68.00](1),统编语文教材与文本解读（初中卷）[49.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
99,初中生英语写作指南--世外中学名师教你写作文[38.00](1),薄冰初中英语语法详解（第6版）[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
100,络新妇之理（上）[55.00](1),络新妇之理（下）[55.00](1),铁鼠之槛——上下 套装全2册 京极夏彦 著 日本 悬疑惊悚小说文学 正版图书籍 上海人民出版社 文景 世纪出版[默认规格](1),魍魉之匣(套装2本) 京极夏彦 百鬼夜行系列 怪诞恐怖 外国日本文学小说 世纪文景[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,
101,史晨碑（彩色放大本中国著名碑帖）[40.00](1),宋高宗书法集[默认规格](1),曹全碑（彩色放大本中国著名碑帖）[48.00](1),,,,,,,,,,,,,,,,,,,,,,,,
102,读霸：小学英语阅读128篇 三年级[59.80](1),读霸：小学英语阅读128篇 四年级[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
103,传习录[39.00](1),理想国（译文经典[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
104,出世：从吉尔伽美什到爱因斯坦的幽冥之旅（人与宗教译丛）[78.00](1),永恒回归的神话（人与宗教译丛）[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
105,另一个，同一个（博尔赫斯全集）[48.00](1),深沉的玫瑰（博尔赫斯全集）[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
106,纳博科夫精选集II 眼睛 绝望 防守 玛丽 斩首之邀[默认规格](1),纳博科夫精选集I（全5册[299.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
107,保卫住房：危机的政治学[49.00](1),最深切的感觉：触觉文化史(光启文景丛书)[62.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
108,中国上古史导论（杨宽著作集）[58.00](1),中国小说史略（蓬莱阁典藏文学艺术[42.00](1),子不语[72.00](1),,,,,,,,,,,,,,,,,,,,,,,,
109,圆觉经讲义附亲闻记[78.00](1),金刚经决疑般若心经直说肇论略注（普陀山佛学丛书[32.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
110,倪文尖语文课[59.00](1),解放战争（全六册（解放战争系列丛书[488.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
111,《说文》小篆研究（修订版）[68.00](1),鸟虫篆大鉴[128.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
112,伊斯坦布尔：一座城市的记忆[89.00](1),周子通书[20.00](1),困学纪闻（国学典藏[48.00](1),船山思问录[25.00](1),,,,,,,,,,,,,,,,,,,,,,,
113,世纪套装\\围炉夜话 偶谭+小窗幽记+菜根谭[默认规格](1),博物志（外七种（历代笔记小说大观[26.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
114,另一个，同一个（博尔赫斯全集）[48.00](1),深沉的玫瑰（博尔赫斯全集）[38.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
115,中洲远古三大传说(套装共3册[默认规格](1),精灵宝钻：精装插图本[109.00](1),霍比特人：电影书衣本[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,
116,名画在左科学在右[68.00](1),建筑设计的1001种创意形式（第二版）[35.00](1),科学简史——从文艺复兴到星际探索[118.00](1),,,,,,,,,,,,,,,,,,,,,,,,
117,合法性与正当性[39.00](1),性经验史[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,,,
118,B2B品牌管理[68.00](1),奢侈品品牌管理（第二版[78.00](1),金融工具手册（高级金融学译丛[108.00](1),,,,,,,,,,,,,,,,,,,,,,,,
119,唐诗选（全二册[128.00](1),宋词选（典藏版[58.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
120,克拉拉与太阳[68.00](1),茶花女（译文名著精选[22.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
121,心电图读图进阶教程[48.00](1),机械通气（第4版[148.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
122,企业、市场与法律[45.00](1),博弈论与信息经济学(当代经济学系列丛书)[75.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
123,二十世纪音乐—现代欧美音乐风格史[118.00](1),古典音乐—海顿.莫扎特与贝多芬的时代[148.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
124,乙瑛碑（中国著名碑帖彩色放大本）[48.00](1),史晨碑（彩色放大本中国著名碑帖）[40.00](1),吴昌硕临石鼓文（彩色放大本中国著名碑帖）[42.00](1),石门颂（彩色放大本中国著名碑帖）[88.00](1),,,,,,,,,,,,,,,,,,,,,,,
125,名校名师 高考英语考纲词汇全攻略（第2版）[59.80](1),名校名师 高考英语考纲词汇同步学练测[39.80](1),落实学科核心素养在课堂[默认规格](1),,,,,,,,,,,,,,,,,,,,,,,,
126,中国碑帖名品·陆柬之文赋[42.00](1),朝话[45.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
127,什么也别说:一桩北爱尔兰谋杀案[82.00](1),唐行小姐：被卖往异国的少女们[39.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
128,读霸：小学英语阅读128篇 一年级[59.80](1),读霸：小学英语阅读128篇 二年级[59.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
129,古典音乐—海顿.莫扎特与贝多芬的时代[148.00](1),辛丰年音乐文集[318.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
130,把自己作为方法:与项飙对话[48.00](1),置身事内：中国政府与经济发展[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
131,繁花[68.00](1),被涂污的鸟[65.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
132,1808：航向巴西[78.00](1),普莱希特哲学史套装[197.80](1),,,,,,,,,,,,,,,,,,,,,,,,,
133,古本竹书纪年辑校订补[38.00](1),周髀算经译注（中国古代科技名著译注丛书[30.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
134,全球政治经济学--解读国际经济秩序[88.00](1),国际政治理论（东方编译所译丛）[75.00](1),比较政治学：理论与方法（东方编译所译丛）[68.00](1),论人民民主[45.00](1),质性研究方法(第二版)(格致方法·社会科学研究方法系列)[75.00](1),,,,,,,,,,,,,,,,,,,,,,
135,中国画学全史（全二册（蓬莱阁典藏文学艺术[68.00](1),古文观止（国学典藏[39.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
136,帷幕（米兰·昆德拉作品全新系列[49.00](1),荒原狼（译文经典·精装）[42.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
137,霍比特人:精装插图本[78.00](1),魔戒[179.00](1),,,,,,,,,,,,,,,,,,,,,,,,,
138,常规威慑论（东方编译所译丛[69.00](1),政治人--政治的社会基础（东方编译所译丛）[108.00](1),比较政治学：理论与方法（东方编译所译丛）[68.00](1),,,,,,,,,,,,,,,,,,,,,,,,
